Date,Open,High,Low,Close,Adj Close,Volume
Apr 14. 2023,0.7493,0.7493,0.7473,0.7485,0.7485,40
Apr 13. 2023,0.7453,0.7499,0.7453,0.7499,0.7499,40
Apr 12. 2023,0.7431,0.7448,0.7425,0.7445,0.7445,10
Apr 11. 2023,0.7404,0.7426,0.7404,0.7426,0.7426,15
Apr 10. 2023,0.7401,0.7402,0.7395,0.7402,0.7402,5
Apr 07. 2023,0.7405,0.7405,0.7405,0.7405,0.7405,4
Apr 06. 2023,0.7420,0.7424,0.7407,0.7424,0.7424,8
Apr 05. 2023,0.7439,0.7449,0.7428,0.7433,0.7433,37
Apr 04. 2023,0.7443,0.7451,0.7433,0.7433,0.7433,35
Apr 03. 2023,0.7405,0.7457,0.7394,0.7455,0.7455,30
Mar 31. 2023,0.7383,0.7393,0.7380,0.7391,0.7391,5
Mar 30. 2023,0.7366,0.7399,0.7366,0.7399,0.7399,16
Mar 29. 2023,0.7358,0.7373,0.7357,0.7373,0.7373,5
Mar 28. 2023,0.7333,0.7358,0.7327,0.7353,0.7353,14
Mar 27. 2023,0.7287,0.7328,0.7280,0.7327,0.7327,19
Mar 24. 2023,0.7263,0.7283,0.7254,0.7279,0.7279,60
Mar 23. 2023,0.7309,0.7337,0.7290,0.7293,0.7293,15
Mar 22. 2023,0.7299,0.7322,0.7285,0.7308,0.7308,26
Mar 21. 2023,0.7323,0.7326,0.7283,0.7293,0.7293,72
Mar 20. 2023,0.7303,0.7323,0.7293,0.7323,0.7323,366
Mar 17. 2023,0.7290,0.7310,0.7279,0.7294,0.7294,129
Mar 16. 2023,0.7266,0.7287,0.7258,0.7287,0.7287,320
Mar 15. 2023,0.7305,0.7322,0.7250,0.7277,0.7277,69
Mar 14. 2023,0.7276,0.7321,0.7276,0.7321,0.7321,704
Mar 13. 2023,0.7240,0.7310,0.7240,0.7286,0.7286,8.396
Mar 10. 2023,0.7229,0.7266,0.7214,0.7229,0.7229,55.578
Mar 09. 2023,0.7245,0.7272,0.7226,0.7234,0.7234,144.279
Mar 08. 2023,0.7269,0.7276,0.7239,0.7247,0.7247,167.267
Mar 07. 2023,0.7346,0.7353,0.7265,0.7268,0.7268,137.365
Mar 06. 2023,0.7352,0.7362,0.7337,0.7343,0.7343,62.905
Mar 03. 2023,0.7355,0.7377,0.7329,0.7358,0.7358,77.058
Mar 02. 2023,0.7356,0.7362,0.7331,0.7352,0.7352,61.391
Mar 01. 2023,0.7332,0.7362,0.7321,0.7348,0.7348,78.535
Feb 28. 2023,0.7368,0.7375,0.7327,0.7339,0.7339,74.160
Feb 27. 2023,0.7348,0.7389,0.7340,0.7364,0.7364,62.285
Feb 24. 2023,0.7382,0.7393,0.7318,0.7348,0.7348,87.439
Feb 23. 2023,0.7378,0.7400,0.7363,0.7381,0.7381,67.716
Feb 22. 2023,0.7388,0.7400,0.7370,0.7372,0.7372,68.023
Feb 21. 2023,0.7422,0.7441,0.7381,0.7389,0.7389,99.033
Feb 17. 2023,0.7430,0.7430,0.7387,0.7424,0.7424,83.657
Feb 16. 2023,0.7466,0.7487,0.7419,0.7448,0.7448,81.347
Feb 15. 2023,0.7499,0.7501,0.7441,0.7463,0.7463,71.502
Feb 14. 2023,0.7498,0.7513,0.7498,0.7513,0.7513,93.007
Feb 13. 2023,0.7487,0.7499,0.7487,0.7498,0.7498,35
Feb 10. 2023,0.7475,0.7494,0.7475,0.7494,0.7494,53
Feb 09. 2023,0.7435,0.7469,0.7433,0.7434,0.7434,31
Feb 08. 2023,0.7463,0.7465,0.7439,0.7442,0.7442,116
Feb 07. 2023,0.7452,0.7466,0.7427,0.7456,0.7456,9
Feb 06. 2023,0.7459,0.7459,0.7437,0.7438,0.7438,18
Feb 03. 2023,0.7461,0.7477,0.7455,0.7468,0.7468,82
Feb 02. 2023,0.7528,0.7528,0.7495,0.7505,0.7505,13
Feb 01. 2023,0.7509,0.7532,0.7479,0.7519,0.7519,16
Jan 31. 2023,0.7469,0.7520,0.7436,0.7516,0.7516,18
Jan 30. 2023,0.7506,0.7508,0.7473,0.7473,0.7473,12
Jan 27. 2023,0.7498,0.7516,0.7498,0.7516,0.7516,13
Jan 26. 2023,0.7471,0.7499,0.7471,0.7499,0.7499,7
Jan 25. 2023,0.7483,0.7490,0.7455,0.7472,0.7472,22
Jan 24. 2023,0.7494,0.7494,0.7473,0.7484,0.7484,6
Jan 23. 2023,0.7466,0.7479,0.7466,0.7469,0.7469,3
Jan 20. 2023,0.7427,0.7477,0.7426,0.7472,0.7472,10
Jan 19. 2023,0.7402,0.7433,0.7402,0.7433,0.7433,17
Jan 18. 2023,0.7463,0.7465,0.7414,0.7414,0.7414,16
Jan 17. 2023,0.7472,0.7472,0.7454,0.7469,0.7469,14
Jan 16. 2023,0.7472,0.7472,0.7472,0.7472,0.7472,9
Jan 13. 2023,0.7503,0.7503,0.7454,0.7469,0.7469,9
Jan 12. 2023,0.7451,0.7490,0.7448,0.7487,0.7487,34
Jan 11. 2023,0.7456,0.7456,0.7448,0.7452,0.7452,43
Jan 10. 2023,0.7469,0.7469,0.7451,0.7454,0.7454,47
Jan 09. 2023,0.7441,0.7481,0.7441,0.7481,0.7481,55
Jan 06. 2023,0.7374,0.7444,0.7350,0.7444,0.7444,84
Jan 05. 2023,0.7408,0.7408,0.7358,0.7371,0.7371,14
Jan 04. 2023,0.7322,0.7420,0.7322,0.7417,0.7417,54
Jan 03. 2023,0.7344,0.7387,0.7312,0.7319,0.7319,39
Jan 02. 2023,-,-,-,-,-,-
Dec 30. 2022,0.7378,0.7399,0.7373,0.7388,0.7388,37
Dec 29. 2022,0.7355,0.7387,0.7355,0.7387,0.7387,12
Dec 28. 2022,0.7389,0.7416,0.7350,0.7356,0.7356,38
Dec 27. 2022,0.7375,0.7418,0.7375,0.7394,0.7394,28
Dec 26. 2022,-,-,-,-,-,-
Dec 23. 2022,0.7335,0.7372,0.7335,0.7354,0.7354,25
Dec 22. 2022,0.7353,0.7363,0.7314,0.7327,0.7327,45
Dec 21. 2022,0.7351,0.7359,0.7340,0.7348,0.7348,42
Dec 20. 2022,0.7329,0.7358,0.7310,0.7358,0.7358,35
Dec 19. 2022,0.7307,0.7338,0.7305,0.7318,0.7318,5.826
Dec 16. 2022,0.7322,0.7343,0.7297,0.7304,0.7304,35.334
Dec 15. 2022,0.7383,0.7386,0.7313,0.7322,0.7322,102.959
Dec 14. 2022,0.7381,0.7398,0.7346,0.7373,0.7373,120.005
Dec 13. 2022,0.7334,0.7396,0.7329,0.7377,0.7377,132.481
Dec 12. 2022,0.7328,0.7343,0.7308,0.7331,0.7331,77.170
Dec 09. 2022,0.7357,0.7369,0.7304,0.7338,0.7338,69.499
Dec 08. 2022,0.7325,0.7374,0.7304,0.7361,0.7361,64.428
Dec 07. 2022,0.7326,0.7358,0.7300,0.7326,0.7326,95.069
Dec 06. 2022,0.7359,0.7369,0.7312,0.7319,0.7319,78.396
Dec 05. 2022,0.7427,0.7472,0.7351,0.7357,0.7357,83.601
Dec 02. 2022,0.7447,0.7452,0.7397,0.7430,0.7430,73.634
Dec 01. 2022,0.7450,0.7466,0.7424,0.7448,0.7448,89.901
Nov 30. 2022,0.7361,0.7458,0.7357,0.7442,0.7442,116.926
Nov 29. 2022,0.7411,0.7459,0.7329,0.7362,0.7362,122.959
Nov 28. 2022,0.7467,0.7467,0.7405,0.7413,0.7413,81.776
Nov 25. 2022,0.7490,0.7510,0.7465,0.7474,0.7474,62.825
Nov 23. 2022,0.7479,0.7495,0.7441,0.7486,0.7486,63.837
Nov 22. 2022,0.7435,0.7484,0.7434,0.7473,0.7473,51.634
Nov 21. 2022,0.7474,0.7477,0.7411,0.7437,0.7437,59.426
Nov 18. 2022,0.7505,0.7520,0.7458,0.7473,0.7473,61.920
Nov 17. 2022,0.7503,0.7517,0.7463,0.7503,0.7503,75.614
Nov 16. 2022,0.7534,0.7561,0.7494,0.7503,0.7503,75.391
Nov 15. 2022,0.7503,0.7511,0.7503,0.7511,0.7511,102.250
Nov 14. 2022,0.7543,0.7543,0.7522,0.7524,0.7524,296
Nov 11. 2022,0.7544,0.7549,0.7544,0.7549,0.7549,13
Nov 10. 2022,0.7386,0.7508,0.7386,0.7491,0.7491,54
Nov 09. 2022,0.7443,0.7443,0.7388,0.7388,0.7388,10
Nov 08. 2022,0.7412,0.7465,0.7411,0.7440,0.7440,22
Nov 07. 2022,0.7400,0.7417,0.7382,0.7412,0.7412,22
Nov 04. 2022,0.7290,0.7422,0.7290,0.7422,0.7422,48
Nov 03. 2022,0.7291,0.7305,0.7248,0.7286,0.7286,45
Nov 02. 2022,0.7344,0.7375,0.7301,0.7333,0.7333,87
Nov 01. 2022,0.7340,0.7381,0.7324,0.7343,0.7343,15
Oct 31. 2022,0.7349,0.7352,0.7308,0.7339,0.7339,319
Oct 28. 2022,0.7387,0.7387,0.7340,0.7350,0.7350,5
Oct 27. 2022,0.7377,0.7382,0.7360,0.7372,0.7372,16
Oct 26. 2022,0.7343,0.7398,0.7330,0.7373,0.7373,16
